"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","886","Успешный запрос возвращает объект с заказом","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestGetOrderByTrack","test_get_order_by_track","",""
"","850","Курьер может авторизоваться","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestLoginCourier","test_login_courier","",""
"","21949","Если передать неверный id заказа, запрос вернёт ошибку","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestAcceptOrder","test_accept_order","",""
"","19629","Курьер может принять заказ","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestAcceptOrder","test_accept_order","",""
"","12190","В тело ответа возвращается список заказов","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestOrdersList","test_orders_list","",""
"","1798","Заказ можно создать с разными вариантами цвета","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestCreateOrder","test_create_order","",""
"","11571","Создание курьера с существующим логином возвращает ошибку","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestCreateCourier","test_create_courier","",""
"","931","Запрос на удаление с несуществующим id возвращает ошибку","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestDeleteCourier","test_delete_courier","",""
"","3415","Нельзя создать двух одинаковых курьеров","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestCreateCourier","test_create_courier","",""
"","24018","Успешное удаление курьера возвращает ok true","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestDeleteCourier","test_delete_courier","",""
"","843","Для создания курьера обязательны логин и пароль","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestCreateCourier","test_create_courier","",""
"","828","Запрос без номера заказа возвращает ошибку","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestGetOrderByTrack","test_get_order_by_track","",""
"","839","Для создания курьера обязательны логин и пароль","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestCreateCourier","test_create_courier","",""
"","1812","Заказ можно создать с разными вариантами цвета","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestCreateOrder","test_create_order","",""
"","840","Для авторизации обязательны логин и пароль","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestLoginCourier","test_login_courier","",""
"","1811","Заказ можно создать с разными вариантами цвета","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestCreateOrder","test_create_order","",""
"","881","Система возвращает ошибку при неверном логине или пароле","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestLoginCourier","test_login_courier","",""
"","1727","Если передать неверный id курьера, запрос вернёт ошибку","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestAcceptOrder","test_accept_order","",""
"","863","Для авторизации обязательны логин и пароль","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestLoginCourier","test_login_courier","",""
"","1757","Если не передать id курьера, запрос вернёт ошибку","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestAcceptOrder","test_accept_order","",""
"","1217","Запрос с несуществующим заказом возвращает ошибку","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestGetOrderByTrack","test_get_order_by_track","",""
"","839","Система возвращает ошибку при неверном логине или пароле","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestLoginCourier","test_login_courier","",""
"","8854","Авторизация несуществующего пользователя возвращает ошибку","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestLoginCourier","test_login_courier","",""
"","837","Если не передать id заказа, запрос вернёт ошибку","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestAcceptOrder","test_accept_order","",""
"","2659","Курьера можно создать","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestCreateCourier","test_create_courier","",""
"","1772","Заказ можно создать с разными вариантами цвета","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestCreateOrder","test_create_order","",""
"","1570","Запрос на удаление без id возвращает ошибку","Sprint_7.tests","2026-05-10","passed","2026-05-10","TestDeleteCourier","test_delete_courier","",""
